BrandName,Condition,Drug,GenName,HowtoUse,Use
,"prevention of bronchospasms with emphysema, bronchospasm prevention with COPD, prevention of bronchospasm with chronic bronchitis, controller medication for asthma","Advair Diskus Blister, With Inhalation Device",Fluticasone Propion-Salmeterol,"Read the Patient Information Leaflet and Instructions for Use provided by your pharmacist before you start using this medication and each time you get a refill. Follow the illustrated directions for the proper use of this medication. If you have any questions, ask your doctor or pharmacist.Depending on your brand, the inhaler should be used in a level, flat position or in a vertical position. Inhale this medication by mouth as directed by your doctor, usually twice daily (in the morning and evening, 12 hours apart). You may or may not taste/feel the drug when you inhale. Either is normal. Do not exhale into the device.Do not take the inhaler apart or wash the mouthpiece or any part of the device. Close the device after each use.If you are using other inhalers at the same time, wait at least 1 minute between the use of each medication, and use this drug last.Gargle and rinse your mouth with water after each use of this medication to help prevent irritation and yeast infections (thrush) in the mouth and throat. Do not swallow the rinse water.The dosage is based on your medical condition, age, and response to treatment.Use this medication regularly in order to get the most benefit from it. This medication works best if used at evenly spaced times. To help you remember, use it at the same times each day. Do not increase your dose, use this medication more often, or stop using it without talking with your doctor. Also, do not use other long-acting beta agonists while using this medication.If you have been using a quick-relief inhaler (such as albuterol, also called salbutamol in some countries) on a regular daily schedule (such as 4 times daily), you must stop this schedule and only use the quick-relief inhaler as needed for sudden shortness of breath/asthma attacks. Consult your doctor for details.If you are regularly taking a different corticosteroid by mouth (such as prednisone), you should not stop taking it unless directed by your doctor. Some conditions (such as asthma, allergies) may become worse when the drug is suddenly stopped. If you suddenly stop taking the drug, you may also have withdrawal symptoms (such as weakness, weight loss, nausea, muscle pain, headache, tiredness, dizziness). To help prevent withdrawal, your doctor may slowly lower the dose of your old medication after you begin using fluticasone/salmeterol. Tell your doctor or pharmacist right away if you have withdrawal. See also Precautions section.It may take 1 week or longer before you get the full benefit of this drug. Tell your doctor if your condition does not improve or if it worsens.Learn which of your inhalers you should use every day (controller drugs) and which you should use if your breathing suddenly worsens (quick-relief drugs). Ask your doctor ahead of time what you should do if you have new or worsening cough or shortness of breath, wheezing, increased sputum, worsening peak flow meter readings, waking up at night with trouble breathing, if you use your quick-relief inhaler more often (more than 2 days a week), or if your quick-relief inhaler does not seem to be working well. Learn when you can treat sudden breathing problems by yourself and when you must get medical help right away.","This product is used to control and prevent symptoms (wheezing and shortness of breath) caused by asthma or ongoing lung disease (chronic obstructive pulmonary disease-COPD, which includes chronic bronchitis and emphysema). It contains 2 medications: fluticasone and salmeterol. Fluticasone belongs to a class of drugs known as corticosteroids. It works by reducing the irritation and swelling of the airways. Salmeterol belongs to the class of drugs known as long-acting beta agonists. It works by opening airways in the lungs to make breathing easier. Controlling symptoms of breathing problems can decrease time lost from work or school.When used alone, long-acting beta agonists (such as salmeterol) may rarely increase the risk of serious (sometimes fatal) asthma-related breathing problems. However, combination inhaled corticosteroid and long-acting beta agonists, such as this product, do not increase the risk of serious asthma-related breathing problems. For asthma treatment, this product should be used when breathing problems are not well controlled with one asthma-control medication (such as inhaled corticosteroid) or if your symptoms need combination treatment.Before using this medication, it is important to learn how to use it properly. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, also called salbutamol in some countries) as prescribed."
,,Advaclear,Mv-Mn-Herbal Complex No.217,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,acne,"Advanced Acne Wash Cleanser, Extended Release",Benzoyl Peroxide,"Read the Patient Information Leaflet if available from your pharmacist before you start using this product and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Before using this product for the first time, check if you are allergic to it. To check, put a small amount on one or two small areas of acne for three days. If you have an allergic reaction, stop using this product and get medical help right away (see the symptoms of an allergic reaction in the Side Effects section). If you don't have an allergic reaction, you can use the product.There are many benzoyl peroxide products available. Many can be purchased without a prescription. Some products (such as cleansers, foam, or lotions) may require a prescription. Consult your doctor or pharmacist on the choice of the product that is best for you. If you are using the over-the-counter product to self-treat, read and follow all directions on the product package before using this medication. If you have any questions, consult your pharmacist. If your doctor has prescribed this medication, use it as directed.Some products require shaking before use. Check your product package to see if your form of this medication needs to be shaken.Apply benzoyl peroxide to the areas of your skin affected by acne. Avoid getting this medication into your eyes, inside your nose or mouth, or on any areas of broken skin since it may cause irritation. If this occurs, flush the area with plenty of water. Benzoyl peroxide may bleach hair or fabrics. Use carefully, and avoid contact with hair, clothing, and furnishings.If using cleansers containing benzoyl peroxide, wet the affected area. Gently rub the cleanser into the skin for 10-20 seconds. Work into a full lather and rinse thoroughly and then pat dry. If too much drying occurs, you may need to rinse the cleanser off sooner or use it less often. Consult your doctor or pharmacist for further details.If you are using the liquid wash, cleansing pad, or cleanser bar, use it instead of soap once or twice a day. Wet the skin before applying, gently work up a lather for 10 to 20 seconds, and rinse thoroughly. Do not scrub the skin.If using the shaving cream, first wet the area to be shaved. Apply a small amount of the medication, gently rub into the area, and then shave.If you are using a cream, foam, lotion, or gel, apply it to the affected area as directed, usually once or twice a day. Before applying each dose, gently wash the affected area with a mild cleanser, then pat dry. Apply a small amount of medicine to the affected area and rub in gently. Some products may require rinsing off after application for a certain amount of time. Check your product package to see if your form of this medication needs to be rinsed off.If you are using the medicated pads or sponges, wash the affected skin with a mild cleanser, then pat dry. Wipe the pad or sponge gently onto the skin to apply the medication, usually once or twice a day to the skin as directed.The dosage is based on your medical condition and response to therapy. Improvement in acne is usually seen after 3 weeks of use, and maximum benefit after 8-12 weeks of use. Do not increase your dose or use this drug more often or for longer than directed. Your condition will not improve any faster, and your risk of side effects will increase.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away.","This medication is used to treat mild to moderate acne. It may be used in combination with other acne treatments. When applied to the skin, benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,"vitamin deficiency, treatment to prevent vitamin deficiency, treatment to prevent mineral deficiency, lack in minerals",Adults' Daily Formula,Multivit-Min-Iron-Vitamin K,"Take this medication by mouth, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.This medication is best taken on an empty stomach 1 hour before or 2 hours after meals. Take with a full glass of water (8 ounces or 240 milliliters) unless your doctor directs you otherwise. If stomach upset occurs, you may take this medication with food. Avoid taking antacids, dairy products, tea, or coffee within 2 hours before or after this medication because they may decrease its effectiveness. Do not lie down for at least 10 minutes after taking the tablets or capsules. Consult your doctor or pharmacist for details for your particular brand.If you are taking the delayed-release form or extended-release capsules, swallow them whole. Do not crush or chew delayed-release or extended-release products. Doing so can release all of the drug at once, increasing the risk of side effects and decreasing absorption. Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
,"treatment to prevent vitamin deficiency, lack in minerals, vitamin deficiency, treatment to prevent mineral deficiency",Adults Multivitamin,Multivitamin-Min-Iron-Fa-Vit K,"Take this medication by mouth, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.This medication is best taken on an empty stomach 1 hour before or 2 hours after meals. Take with a full glass of water (8 ounces or 240 milliliters) unless your doctor directs you otherwise. If stomach upset occurs, you may take this medication with food. Avoid taking antacids, dairy products, tea, or coffee within 2 hours before or after this medication because they may decrease its effectiveness. Do not lie down for at least 10 minutes after taking the tablets or capsules. Consult your doctor or pharmacist for details for your particular brand.If you are taking the delayed-release form or extended-release capsules, swallow them whole. Do not crush or chew delayed-release or extended-release products. Doing so can release all of the drug at once, increasing the risk of side effects and decreasing absorption. Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
,,Adults 50+ MULTIVITAMIN,Multivit-Min-Fa-Lycopen-Lutein,"Take this medication by mouth with or without food as directed by your doctor, usually once or twice daily. If stomach upset occurs, it may help to take this product with food.Take this medication 2 to 3 hours before or after taking certain antibiotics (including tetracyclines, quinolones such as ciprofloxacin). The minerals in this product may interfere with the antibiotic, preventing it from being absorbed.","This combination of vitamins and selected minerals is used to prevent or treat vitamin deficiency due to poor eating habits, problems that affect the body's ability to absorb nutrition from food, or increased need for vitamins and minerals due to stress or illness. Vitamins are needed for the body to function well.This vitamin/mineral combination contains high levels of B vitamins (e.g., folic acid, niacin, B-1, B-2, B-6, and B-12) and vitamin C. It also contains other vitamins (A, D, and E) and minerals such as zinc. This medication does not contain iron and has only a small amount of calcium. Therefore, it should not be used to treat ""iron-poor"" blood (anemia) or to prevent osteoporosis."
,,ADV Allergy COLLECTION Kit,Hydrocortisone,"There are many hydrocortisone products available. Many can be purchased without a prescription. Some products require a prescription. Consult your doctor or pharmacist on the choice of the product that is best for you.Use this medication on the skin only. However, do not use it on the face or underarms unless directed to do so by your doctor. Some products are meant to be used on the scalp for various conditions. To correctly use these products, follow the directions on the product package.Wash and dry your hands before using. Clean and dry the affected area. If you are using the lotion or foam, shake it well just before using. If you are using the spray, check the product package to see if it needs to be shaken before each use. Apply a small amount of medication to the affected area and gently rub in, usually up to 4 times a day or as directed by your doctor or the product package. Dosage and length of treatment depends on the type of condition being treated. Do not bandage, cover, or wrap the area unless directed to do so by your doctor. If used in or near the diaper area on an infant, do not use tight-fitting diapers or plastic pants.After applying the medication, wash your hands, unless the hands are being treated. Avoid getting this medication in the eyes, nose, or mouth. If you get the medication in these areas, rinse with plenty of water. If irritation occurs or continues, contact your doctor right away.Use this medication only for the condition for which it was prescribed or a condition that is listed on the product package. Do not use it for longer than directed by the product package or your doctor.Tell your doctor if your condition persists or worsens after 7 days or if you think you may have a serious medical problem.","This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). Hydrocortisone reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid."
,"cold symptoms, cough",Adult Wal-Tussin,Guaifenesin,"Take this medication by mouth with or without food, as directed by your doctor, usually every 4 hours. If you are self-treating, follow all directions on the product package. If you are uncertain about any of the information, ask your doctor or pharmacist.Guaifenesin may have a bitter taste. Do not split the tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose.For powder packets, empty the entire contents of the packet onto the tongue and swallow. To prevent a bitter taste, do not chew.Dosage is based on your age, medical condition, and response to treatment. Do not take more than 6 doses in a day. Do not increase your dose or take this drug more often than directed.Drink plenty of fluids while taking this medication. Fluids will help to break up mucus and clear congestion.Tell your doctor if your cough is accompanied by fever, severe sore throat, rash, persistent headache, or if it persists, returns, or worsens after 7 days. These may be signs of a serious medical problem. Seek immediate medical attention if you think you may have a serious medical problem.","Guaifenesin is used to treat coughs and congestion caused by the common cold, bronchitis, and other breathing illnesses. This product is usually not used for ongoing cough from smoking or long-term breathing problems (such as chronic bronchitis, emphysema) unless directed by your doctor. Guaifenesin is an expectorant. It works by thinning and loosening mucus in the airways, clearing congestion, and making breathing easier.If you are self-treating with this medication, it is important to read the package instructions carefully before you start using this product to be sure it is right for you. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold. To decrease the risk for side effects, carefully follow all dosage directions. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,,Aquacel-AG Extra Bandage,Silver-Hydrocolloid Dressing,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"stuffy nose, cough, cold symptoms, a stuffy and runny nose, runny nose",Adult Tussin Multi-Symp Cold,Phenylephrine-Dm-Guaifenesin,"If you are taking the over-the-counter product, read all directions on the product package before taking this medication. If you have any questions, consult your pharmacist. If your doctor has prescribed this medication, take it as directed.Take the tablet, capsule, or liquid form by mouth with or without food. Follow the directions for dosing on the label, or take as directed by your doctor. Drink plenty of fluids when you use this medication unless otherwise directed by your doctor. The fluid will help loosen the mucus in your lungs. This medication can be taken with food if stomach upset occurs.If you are using the liquid form, use a medication measuring device to carefully measure the prescribed dose. Do not use a household spoon. If your liquid form is a suspension, shake the bottle well before each dose.If you are using sustained-release tablets or capsules, swallow the medication whole. Do not crush or chew the tablets or capsules. Doing so can destroy the long action of the drug and may increase side effects.The dosage is based on your age, medical condition, and response to therapy.Improper use of this medication (abuse) may result in serious harm (e.g., brain damage, seizure, death). Do not increase your dose or take this medication more often than recommended by your doctor or the package instructions without your doctor's approval.Inform your doctor if your condition persists for more than 1 week, if it worsens, or if it occurs with fever, rash, or persistent headache. These may be symptoms of a serious medical problem and should be checked by a doctor.","This combination medication is used to temporarily treat cough, chest congestion, and stuffy nose symptoms caused by the common cold, flu, allergies, hay fever, or other breathing illnesses (e.g., sinusitis, bronchitis). Guaifenesin is an expectorant that helps to thin and loosen mucus in the lungs, making it easier to cough up the mucus. Dextromethorphan is a cough suppressant that affects a certain part of the brain (cough center), reducing the urge to cough. This product also contains a decongestant, which helps relieve stuffy nose symptoms.This medication is usually not used for ongoing coughs from smoking, asthma, other long-term breathing problems (e.g., emphysema), or coughs with a lot of mucus, unless directed by your doctor.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,cough,Adult Wal-Tussin DM Max,Dextromethorphan-Guaifenesin,"Take this medication by mouth with or without food, as directed by your doctor. If you are self-treating, follow all directions on the product package. If you are uncertain about any of the information, ask your doctor or pharmacistDrink plenty of fluids while taking this medication. Fluids will help to break up mucus and clear congestion.Dosage is based on your age, medical condition, and response to treatment. Do not increase your dose or take this drug more often than directed.If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose.For powder packets, empty the entire contents of the packet onto the tongue and swallow. To prevent a bitter taste, do not chew. If you are taking the capsule form, swallow the capsule whole.Improper use of this medication (abuse) may result in serious harm (such as brain damage, seizure, death). Do not increase your dose, take it more frequently, or use it for a longer time than directed.Tell your doctor if your cough returns, or if it is accompanied by fever, severe sore throat, rash, persistent headache, or if it persists or worsens after 7 days. These may be signs of a serious medical problem. Seek immediate medical attention if you think you may have a serious medical problem.","This combination medication is used to relieve coughs caused by the common cold, bronchitis, and other breathing illnesses. Guaifenesin belongs to a class of drugs known as expectorants. It works by thinning and loosening mucus in the airways, clearing congestion, and making breathing easier. Dextromethorphan belongs to a class of drugs known as cough suppressants. It acts on a part of the brain (cough center) to reduce the urge to cough.If you are self-treating with this medication, it is important to read the package instructions carefully before you start using this product to be sure it is right for you. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,cough,ADULT Wal-Tussin DM,Dextromethorphan-Guaifenesin,"Take this medication by mouth with or without food, as directed by your doctor. If you are self-treating, follow all directions on the product package. If you are uncertain about any of the information, ask your doctor or pharmacistDrink plenty of fluids while taking this medication. Fluids will help to break up mucus and clear congestion.Dosage is based on your age, medical condition, and response to treatment. Do not increase your dose or take this drug more often than directed.If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose.For powder packets, empty the entire contents of the packet onto the tongue and swallow. To prevent a bitter taste, do not chew. If you are taking the capsule form, swallow the capsule whole.Improper use of this medication (abuse) may result in serious harm (such as brain damage, seizure, death). Do not increase your dose, take it more frequently, or use it for a longer time than directed.Tell your doctor if your cough returns, or if it is accompanied by fever, severe sore throat, rash, persistent headache, or if it persists or worsens after 7 days. These may be signs of a serious medical problem. Seek immediate medical attention if you think you may have a serious medical problem.","This combination medication is used to relieve coughs caused by the common cold, bronchitis, and other breathing illnesses. Guaifenesin belongs to a class of drugs known as expectorants. It works by thinning and loosening mucus in the airways, clearing congestion, and making breathing easier. Dextromethorphan belongs to a class of drugs known as cough suppressants. It acts on a part of the brain (cough center) to reduce the urge to cough.If you are self-treating with this medication, it is important to read the package instructions carefully before you start using this product to be sure it is right for you. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,,Aquacel AG Foam Heel Bandage,Silver-Foam Bandage,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aquacel-AG Bandage,Silver-Hydrocolloid Dressing,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aquacel AG Foam Sacral Bandage,Silver-Foam Bandage,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,cough,Adult Tussin DM,Dextromethorphan-Guaifenesin,"Take this medication by mouth with or without food, as directed by your doctor. If you are self-treating, follow all directions on the product package. If you are uncertain about any of the information, ask your doctor or pharmacistDrink plenty of fluids while taking this medication. Fluids will help to break up mucus and clear congestion.Dosage is based on your age, medical condition, and response to treatment. Do not increase your dose or take this drug more often than directed.If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose.For powder packets, empty the entire contents of the packet onto the tongue and swallow. To prevent a bitter taste, do not chew. If you are taking the capsule form, swallow the capsule whole.Improper use of this medication (abuse) may result in serious harm (such as brain damage, seizure, death). Do not increase your dose, take it more frequently, or use it for a longer time than directed.Tell your doctor if your cough returns, or if it is accompanied by fever, severe sore throat, rash, persistent headache, or if it persists or worsens after 7 days. These may be signs of a serious medical problem. Seek immediate medical attention if you think you may have a serious medical problem.","This combination medication is used to relieve coughs caused by the common cold, bronchitis, and other breathing illnesses. Guaifenesin belongs to a class of drugs known as expectorants. It works by thinning and loosening mucus in the airways, clearing congestion, and making breathing easier. Dextromethorphan belongs to a class of drugs known as cough suppressants. It acts on a part of the brain (cough center) to reduce the urge to cough.If you are self-treating with this medication, it is important to read the package instructions carefully before you start using this product to be sure it is right for you. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,,Aquacel AG Foam Bandage,Silver-Foam Bandage,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aqua Lacten Lotion,Lactic Acid-Urea,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aqua Glycolic HC Combination Package,Hydrocortisone-Skin Clnsr #25,"There are many hydrocortisone products available. Many can be purchased without a prescription. Some products require a prescription. Consult your doctor or pharmacist on the choice of the product that is best for you.Use this medication on the skin only. However, do not use it on the face or underarms unless directed to do so by your doctor. Some products are meant to be used on the scalp for various conditions. To correctly use these products, follow the directions on the product package.Wash and dry your hands before using. Clean and dry the affected area. If you are using the lotion or foam, shake it well just before using. If you are using the spray, check the product package to see if it needs to be shaken before each use. Apply a small amount of medication to the affected area and gently rub in, usually up to 4 times a day or as directed by your doctor or the product package. Dosage and length of treatment depends on the type of condition being treated. Do not bandage, cover, or wrap the area unless directed to do so by your doctor. If used in or near the diaper area on an infant, do not use tight-fitting diapers or plastic pants.After applying the medication, wash your hands, unless the hands are being treated. Avoid getting this medication in the eyes, nose, or mouth. If you get the medication in these areas, rinse with plenty of water. If irritation occurs or continues, contact your doctor right away.Use this medication only for the condition for which it was prescribed or a condition that is listed on the product package. Do not use it for longer than directed by the product package or your doctor.Tell your doctor if your condition persists or worsens after 7 days or if you think you may have a serious medical problem.","This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). Hydrocortisone reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid."
,,Aqua Glycolic Cream,Emollient,"Use this product as directed. Some products require priming before use. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Some products need to be shaken before use. Check the label to see if you should shake the bottle well before using. Apply to the affected areas of the skin as needed or as directed on the label or by your doctor. How often you apply the medication will depend on the product and your skin condition. To treat dry hands, you may need to use the product every time you wash your hands, applying it throughout the day.If you are using this product to help treat diaper rash, clean the diaper area well before use and allow the area to dry before applying the product.If you are using this product to help treat radiation skin burns, check with radiation personnel to see if your brand can be applied before radiation therapy.Follow all the directions on the label for proper use. Apply to the skin only. Avoid sensitive areas such as your eyes, inside your mouth/nose, and the vaginal/groin area, unless the label or your doctor directs you otherwise. Check the label for directions about any areas or types of skin where you should not apply the product (e.g., on the face, any areas of broken/chapped/cut/irritated/scraped skin, or on a recently shaved area of the skin). Consult your doctor or pharmacist for more details.Use this medication regularly to get the most benefit from it. Most moisturizers need water to work well. Apply the product after bathing/showering while the skin is still damp. For very dry skin, your doctor may instruct you to soak the area before using the product. Long, hot, or frequent bathing/washing can worsen dry skin.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
,,"Aquacel AG Burn 1.2 %-4"" X 5"" Bandage Not Applicable",Silver-Hydrocolloid Dressing,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,"Aqua Care Sterile Water IRRIG Solution, Irrigation","Water For Irrigation, Sterile",Consult your pharmacist or physician.,Consult your pharmacist or physician.
,thickening of the outer horny layer of the skin,Aqua Care Lotion,Urea,"Use this product as directed. Some products require priming before use. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Some products need to be shaken before use. Check the label to see if you should shake the bottle well before using. Apply to the affected areas of the skin as needed or as directed on the label or by your doctor. How often you apply the medication will depend on the product and your skin condition. To treat dry hands, you may need to use the product every time you wash your hands, applying it throughout the day.If you are using this product to help treat diaper rash, clean the diaper area well before use and allow the area to dry before applying the product.If you are using this product to help treat radiation skin burns, check with radiation personnel to see if your brand can be applied before radiation therapy.Follow all the directions on the label for proper use. Apply to the skin only. Avoid sensitive areas such as your eyes, inside your mouth/nose, and the vaginal/groin area, unless the label or your doctor directs you otherwise. Check the label for directions about any areas or types of skin where you should not apply the product (e.g., on the face, any areas of broken/chapped/cut/irritated/scraped skin, or on a recently shaved area of the skin). Consult your doctor or pharmacist for more details.Use this medication regularly to get the most benefit from it. Most moisturizers need water to work well. Apply the product after bathing/showering while the skin is still damp. For very dry skin, your doctor may instruct you to soak the area before using the product. Long, hot, or frequent bathing/washing can worsen dry skin.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
